R001ex	1 C00089[e] <-
R00355[c]	1 C00049[c] + 1 C00026[c] <-> 1 C00036[c] + 1 C00025[c]
R10930[c]	1 C20948[c] + 1 C00002[c] <-> 1 C20949[c] + 1 C00008[c]
R03443[c]	1 C01250[c] + 1 C00009[c] + 1 C00006[c] <-> 1 C04133[c] + 1 C00005[c] + 1 C00080[c]
R01954[c]	1 C00002[c] + 1 C00327[c] + 1 C00049[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C03406[c]
R01939[c]	1 C00956[c] + 1 C00026[c] <-> 1 C00322[c] + 1 C00025[c]
R03098[c]	1 C00956[c] + 1 C00002[c] <-> 1 C05560[c] + 1 C00013[c]
R09775[c]	1 C00956[c] + 1 C19885[c] + 1 C00002[c] <-> 1 C19886[c] + 1 C00008[c] + 1 C00009[c]
R09776[c]	1 C19886[c] + 1 C00002[c] <-> 1 C19887[c] + 1 C00008[c]
R04390[c]	1 C05535[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C04076[c] + 1 C11482[c] + 1 C00006[c]
R02315[c]	1 C00449[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C00025[c] + 1 C04076[c] + 1 C00005[c] + 1 C00080[c]
R09778[c]	1 C19888[c] + 1 C00025[c] <-> 1 C19889[c] + 1 C00026[c]
R00715[c]	1 C00449[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C00047[c] + 1 C00026[c] + 1 C00004[c] + 1 C00080[c]
R04365[c]	1 C00091[c] + 1 C03972[c] + 1 C00001[c] <-> 1 C00010[c] + 1 C04462[c]
R07399[c]	1 C00024[c] + 1 C00022[c] + 1 C00001[c] <-> 1 C02612[c] + 1 C00010[c]
R03896[c]	1 C02612[c] <-> 1 C02226[c] + 1 C00001[c]
R00994[c]	1 C00109[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C06032[c] + 1 C00003[c]
R00996[c]	1 C00188[c] <-> 1 C00109[c] + 1 C00014[c]
R08648[c]	1 C00022[c] + 1 C00109[c] <-> 1 C06006[c] + 1 C00011[c]
R05071[c]	1 C06010[c] <-> 1 C04181[c]
R05068[c]	1 C06007[c] + 1 C00006[c] <-> 1 C14463[c] + 1 C00005[c] + 1 C00080[c]
R04441[c]	1 C04272[c] <-> 1 C00141[c] + 1 C00001[c]
R01214[c]	1 C00183[c] + 1 C00026[c] <-> 1 C00141[c] + 1 C00025[c]
R01215[c]	1 C00183[c] + 1 C00022[c] <-> 1 C00141[c] + 1 C00041[c]
R03968[c]	1 C02504[c] <-> 1 C02631[c] + 1 C00001[c]
R04001[c]	1 C04411[c] <-> 1 C02631[c] + 1 C00001[c]
R03425[c]	1 C00037[c] + 1 C02051[c] <-> 1 C01242[c] + 1 C00011[c]
R03815[c]	1 C02972[c] + 1 C00003[c] <-> 1 C02051[c] + 1 C00004[c] + 1 C00080[c]
R00509[c]	1 C00002[c] + 1 C00224[c] <-> 1 C00008[c] + 1 C00053[c]
R01777[c]	1 C00091[c] + 1 C00263[c] <-> 1 C00010[c] + 1 C01118[c]
R12084[c]	12 C00138[c] + 12 C00080[c] + 1 C00697[c] + 40 C00002[c] + 40 C00001[c] <-> 12 C00139[c] + 3 C00282[c] + 2 C00014[c] + 40 C00008[c] + 40 C00009[c]
R01071[c]	1 C02739[c] + 1 C00013[c] <-> 1 C00002[c] + 1 C00119[c]
R04035[c]	1 C02739[c] + 1 C00001[c] <-> 1 C02741[c] + 1 C00013[c]
R03243[c]	1 C01100[c] + 1 C00026[c] <-> 1 C01267[c] + 1 C00025[c]
R03013[c]	1 C01100[c] + 1 C00001[c] <-> 1 C00860[c] + 1 C00009[c]
R01135[c]	1 C00044[c] + 1 C00130[c] + 1 C00049[c] <-> 1 C00035[c] + 1 C00009[c] + 1 C03794[c]
R00551[c]	1 C00062[c] + 1 C00001[c] <-> 1 C00077[c] + 1 C00086[c]
R00667[c]	1 C00077[c] + 1 C00026[c] <-> 1 C01165[c] + 1 C00025[c]
R01565[c]	1 C01026[c] + 1 C00101[c] + 1 C04253[c] <-> 1 C00213[c] + 1 C00143[c] + 1 C04570[c]
R00392[c]	1 C00040[c] + 1 C04253[c] <-> 1 C00605[c] + 1 C04570[c]
R04405[c]	1 C04489[c] + 1 C00155[c] <-> 1 C04144[c] + 1 C00073[c]
R02026[c]	1 C01077[c] + 1 C00320[c] + 1 C00342[c] + 1 C00080[c] <-> 1 C00155[c] + 1 C00094[c] + 1 C00343[c] + 1 C00033[c]
R01195[c]	2 C00138[c] + 1 C00006[c] + 1 C00080[c] <-> 2 C00139[c] + 1 C00005[c]
R02722[c]	1 C00065[c] + 1 C03506[c] <-> 1 C00078[c] + 1 C00118[c] + 1 C00001[c]
R07358[c]	1 C00004[c] + 1 C00080[c] + 1 C15602[c] <-> 1 C00003[c] + 1 C15603[c]
R00530[c]	1 C00008[c] + 1 C00059[c] <-> 1 C00009[c] + 1 C00224[c]
R00859[c]	1 C00283[c] + 6 C00139[c] + 3 C00001[c] <-> 1 C00094[c] + 6 C00138[c] + 6 C00080[c]
R05712[c]	1 C00014[c] + 2 C00001[c] + 6 C00125[c] <-> 1 C00088[c] + 6 C00126[c] + 6 C00080[c]
R07613[c]	1 C00666[c] + 1 C00026[c] <-> 1 C03972[c] + 1 C00025[c] + 1 C00001[c]
R00259[c]	1 C00024[c] + 1 C00025[c] <-> 1 C00010[c] + 1 C00624[c]
R02492[c]	2 C00533[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C00887[c] + 1 C00003[c] + 1 C00001[c]
R03260[c]	1 C01118[c] + 1 C00097[c] <-> 1 C02291[c] + 1 C00042[c]
R11487[c]	1 C00094[c] + 1 C15602[c] + 1 C00001[c] <-> 1 C00059[c] + 1 C15603[c]
R00694[c]	1 C00079[c] + 1 C00026[c] <-> 1 C00166[c] + 1 C00025[c]
R07276[c]	1 C00826[c] + 1 C00026[c] <-> 1 C00254[c] + 1 C00025[c]
R00491[c]	1 C00049[c] <-> 1 C00402[c]
